keywords;docs
['bom', 'excelente', 'didaticar', 'otimo', 'professora', 'bem', 'assunto', 'aula', 'didatico', 'conteudo', 'dominio', 'explicar', 'ensinar', 'disciplina', 'sempre'];
['excelente', 'bem', 'didaticar', 'explicar', 'assunto', 'ensinar', 'conteudo', 'otimo', 'disciplina', 'bom', 'passar', 'prova', 'saber', 'aula', 'faltar'];
['bom', 'excelente', 'otimo', 'dominio', 'didaticar', 'assunto', 'bem', 'ministrar', 'conteudo', 'forma', 'passar', 'sobre', 'atencioso', 'claro', 'disciplina'];
['otimo', 'bom', 'bem', 'professora', 'aula', 'explicar', 'semestre', 'dinamico', 'conteudo', 'excelente', 'poder', 'profissional', 'atencioso', 'fazer', 'interage'];
['bem', 'explicar', 'assunto', 'otimo', 'bom', 'professora', 'ensinar', 'dominio', 'didatico', 'aula', 'pouco', 'faltar', 'melhorar', 'semestre', 'prova'];
['atencioso', 'didatico', 'professora', 'sempre', 'didaticar', 'otimo', 'melhorar', 'prestativo', 'ajudar', 'precisar', 'explicar', 'bom', 'dedicar', 'duvir', 'dominio'];
['didatico', 'atencioso', 'didaticar', 'melhorar', 'dominio', 'bem', 'prestativo', 'otimo', 'explicar', 'sempre', 'precisar', 'professora', 'ajudar', 'assunto', 'conhecimento'];
['dominio', 'bem', 'didatico', 'explicar', 'assunto', 'excelente', 'melhorar', 'atencioso', 'didaticar', 'conteudo', 'aula', 'bastante', 'prova', 'ministrar', 'claro'];
['didaticar', 'professora', 'dominio', 'aula', 'sempre', 'bom', 'claro', 'didatico', 'melhorar', 'objetiva', 'ministrar', 'ensinar', 'precisar', 'ajudar', 'sobre'];
['professora', 'atencioso', 'ensinar', 'dominio', 'melhorar', 'otimo', 'dedicar', 'profissional', 'didaticar', 'aula', 'sempre', 'ajudar', 'dinamico', 'maravilhoso', 'faltar'];
['atencioso', 'sempre', 'didaticar', 'ajudar', 'ensinar', 'disposto', 'bom', 'profissional', 'materia', 'explicar', 'conteudo', 'professora', 'faltar', 'assunto', 'claro'];
['conteudo', 'conhecimento', 'aulo', 'assunto', 'forma', 'sala', 'aula', 'sobre', 'passar', 'repassar', 'comentario', 'didatico', 'ministrar', 'dedicar', 'dinamico'];
['faltar', 'aulo', 'sala', 'disciplina', 'conteudo', 'aula', 'comunicacao', 'sobre', 'ensinar', 'apresentar', 'conhecimento', 'explicar', 'saber', 'avaliacao', 'experiencia'];
['conhecimento', 'assunto', 'dominio', 'ministrar', 'sobre', 'materia', 'aula', 'geral', 'forma', 'ensinar', 'disciplina', 'explicar', 'claro', 'aulo', 'dominar'];
['aula', 'ensinar', 'sempre', 'atencioso', 'sala', 'didaticar', 'comentario', 'geral', 'aulo', 'faltar', 'ajudar', 'forma', 'prova', 'explicar', 'disposto'];
['ensinar', 'conhecimento', 'aula', 'geral', 'conteudo', 'sala', 'aulo', 'disciplina', 'explicar', 'maravilhoso', 'dificil', 'materia', 'deixar', 'comunicacao', 'professora'];
['semestre', 'geral', 'dificil', 'materia', 'profissional', 'prova', 'passar', 'melhorar', 'pouco', 'assunto', 'faltar', 'bem', 'conhecimento', 'precisar', 'algum'];
['comentario', 'materia', 'saber', 'fazer', 'maravilhoso', 'deixar', 'claro', 'semestre', 'conteudo', 'dinamico', 'disciplina', 'avaliacao', 'prova', 'profissional', 'aula'];
['prova', 'disciplina', 'comentario', 'passar', 'poder', 'claro', 'tempo', 'aulo', 'semestre', 'pois', 'ajudar', 'ter', 'assunto', 'geral', 'horario'];
['comentario', 'materia', 'positivo', 'passar', 'dedicar', 'claro', 'negativo', 'desnecessario', 'deixar', 'maravilhoso', 'durante', 'prova', 'forma', 'algum', 'sexual'];
['pouco', 'dinamico', 'conhecimento', 'saber', 'materia', 'dificil', 'tempo', 'bastante', 'comentario', 'assunto', 'aulo', 'semestre', 'ensinar', 'passar', 'outro'];
['semestre', 'dominar', 'bem', 'maravilhoso', 'faltar', 'sobre', 'forma', 'dedicar', 'dificil', 'explicar', 'ministrar', 'ensinar', 'comentario', 'materia', 'aulo'];
['bastante', 'melhorar', 'pouco', 'tempo', 'explicar', 'profissional', 'muito', 'aula', 'didatico', 'passar', 'dinamico', 'ensinar', 'precisar', 'forma', 'sobre'];
['explicar', 'dominar', 'horario', 'assunto', 'dinamico', 'poder', 'claro', 'profissional', 'objetivo', 'ministrar', 'comentario', 'bem', 'conhecer', 'dedicar', 'ter'];
['maravilhoso', 'dedicar', 'conhecimento', 'dominar', 'profissional', 'dominio', 'assunto', 'poder', 'bem', 'avaliacao', 'esforcar', 'passar', 'semestre', 'maneira', 'sobre'];
['disciplina', 'professora', 'pouco', 'aler', 'explicar', 'bem', 'vez', 'assunto', 'aulo', 'comentario', 'estudar', 'durante', 'aula', 'horario', 'ministrar'];
['aula', 'deixar', 'semestre', 'trabalho', 'ministrar', 'disciplina', 'algum', 'assunto', 'sala', 'conteudo', 'poder', 'dar', 'aulo', 'fazer', 'conhecimento'];
