model,keywords
LSA,"['bom', 'excelente', 'didaticar', 'otimo', 'professora', 'bem', 'assunto', 'aula', 'didatico', 'conteudo', 'dominio', 'explicar', 'ensinar', 'disciplina', 'sempre']"
LSA,"['excelente', 'bem', 'didaticar', 'explicar', 'assunto', 'ensinar', 'conteudo', 'otimo', 'disciplina', 'bom', 'passar', 'prova', 'saber', 'aula', 'faltar']"
LSA,"['bom', 'excelente', 'otimo', 'dominio', 'didaticar', 'assunto', 'bem', 'ministrar', 'conteudo', 'forma', 'passar', 'sobre', 'atencioso', 'claro', 'disciplina']"
LSA,"['otimo', 'bom', 'bem', 'professora', 'aula', 'explicar', 'semestre', 'dinamico', 'conteudo', 'excelente', 'poder', 'profissional', 'atencioso', 'fazer', 'interage']"
LSA,"['bem', 'explicar', 'assunto', 'otimo', 'bom', 'professora', 'ensinar', 'dominio', 'didatico', 'aula', 'pouco', 'faltar', 'melhorar', 'semestre', 'prova']"
LSA,"['atencioso', 'didatico', 'professora', 'sempre', 'didaticar', 'otimo', 'melhorar', 'prestativo', 'ajudar', 'precisar', 'explicar', 'bom', 'dedicar', 'duvir', 'dominio']"
LSA,"['didatico', 'atencioso', 'didaticar', 'melhorar', 'dominio', 'bem', 'prestativo', 'otimo', 'explicar', 'sempre', 'precisar', 'professora', 'ajudar', 'assunto', 'conhecimento']"
LSA,"['dominio', 'bem', 'didatico', 'explicar', 'assunto', 'excelente', 'melhorar', 'atencioso', 'didaticar', 'conteudo', 'aula', 'bastante', 'prova', 'ministrar', 'claro']"
LSA,"['didaticar', 'professora', 'dominio', 'aula', 'sempre', 'bom', 'claro', 'didatico', 'melhorar', 'objetiva', 'ministrar', 'ensinar', 'precisar', 'ajudar', 'sobre']"
LSA,"['professora', 'atencioso', 'ensinar', 'dominio', 'melhorar', 'otimo', 'dedicar', 'profissional', 'didaticar', 'aula', 'sempre', 'ajudar', 'dinamico', 'maravilhoso', 'faltar']"
LSA,"['atencioso', 'sempre', 'didaticar', 'ajudar', 'ensinar', 'disposto', 'bom', 'profissional', 'materia', 'explicar', 'conteudo', 'professora', 'faltar', 'assunto', 'claro']"
LSA,"['conteudo', 'conhecimento', 'aulo', 'assunto', 'forma', 'sala', 'aula', 'sobre', 'passar', 'repassar', 'comentario', 'didatico', 'ministrar', 'dedicar', 'dinamico']"
LSA,"['faltar', 'aulo', 'sala', 'disciplina', 'conteudo', 'aula', 'comunicacao', 'sobre', 'ensinar', 'apresentar', 'conhecimento', 'explicar', 'saber', 'avaliacao', 'experiencia']"
LSA,"['conhecimento', 'assunto', 'dominio', 'ministrar', 'sobre', 'materia', 'aula', 'geral', 'forma', 'ensinar', 'disciplina', 'explicar', 'claro', 'aulo', 'dominar']"
LSA,"['aula', 'ensinar', 'sempre', 'atencioso', 'sala', 'didaticar', 'comentario', 'geral', 'aulo', 'faltar', 'ajudar', 'forma', 'prova', 'explicar', 'disposto']"
LSA,"['ensinar', 'conhecimento', 'aula', 'geral', 'conteudo', 'sala', 'aulo', 'disciplina', 'explicar', 'maravilhoso', 'dificil', 'materia', 'deixar', 'comunicacao', 'professora']"
LSA,"['semestre', 'geral', 'dificil', 'materia', 'profissional', 'prova', 'passar', 'melhorar', 'pouco', 'assunto', 'faltar', 'bem', 'conhecimento', 'precisar', 'algum']"
LSA,"['comentario', 'materia', 'saber', 'fazer', 'maravilhoso', 'deixar', 'claro', 'semestre', 'conteudo', 'dinamico', 'disciplina', 'avaliacao', 'prova', 'profissional', 'aula']"
LSA,"['prova', 'disciplina', 'comentario', 'passar', 'poder', 'claro', 'tempo', 'aulo', 'semestre', 'pois', 'ajudar', 'ter', 'assunto', 'geral', 'horario']"
LSA,"['comentario', 'materia', 'positivo', 'passar', 'dedicar', 'claro', 'negativo', 'desnecessario', 'deixar', 'maravilhoso', 'durante', 'prova', 'forma', 'algum', 'sexual']"
LSA,"['pouco', 'dinamico', 'conhecimento', 'saber', 'materia', 'dificil', 'tempo', 'bastante', 'comentario', 'assunto', 'aulo', 'semestre', 'ensinar', 'passar', 'outro']"
LSA,"['semestre', 'dominar', 'bem', 'maravilhoso', 'faltar', 'sobre', 'forma', 'dedicar', 'dificil', 'explicar', 'ministrar', 'ensinar', 'comentario', 'materia', 'aulo']"
LSA,"['bastante', 'melhorar', 'pouco', 'tempo', 'explicar', 'profissional', 'muito', 'aula', 'didatico', 'passar', 'dinamico', 'ensinar', 'precisar', 'forma', 'sobre']"
LSA,"['explicar', 'dominar', 'horario', 'assunto', 'dinamico', 'poder', 'claro', 'profissional', 'objetivo', 'ministrar', 'comentario', 'bem', 'conhecer', 'dedicar', 'ter']"
LSA,"['maravilhoso', 'dedicar', 'conhecimento', 'dominar', 'profissional', 'dominio', 'assunto', 'poder', 'bem', 'avaliacao', 'esforcar', 'passar', 'semestre', 'maneira', 'sobre']"
LDA,"['disciplina', 'professora', 'pouco', 'aler', 'explicar', 'bem', 'vez', 'assunto', 'aulo', 'comentario', 'estudar', 'aula', 'durante', 'ministrar', 'horario']"
LDA,"['aula', 'deixar', 'trabalho', 'semestre', 'ministrar', 'disciplina', 'algum', 'assunto', 'sala', 'conteudo', 'poder', 'dar', 'aulo', 'fazer', 'conhecimento']"
LDA,"['fazer', 'aula', 'q', 'dinamico', 'saber', 'atencioso', 'otimo', 'sempre', 'materia', 'horario', 'precisar', 'ajudar', 'didaticar', 'conteudo', 'dar']"
LDA,"['aula', 'semestre', 'disciplina', 'professora', 'bom', 'conteudo', 'dar', 'avaliativo', 'ter', 'aprender', 'aler', 'hora', 'profissional', 'todo', 'prejudicar']"
LDA,"['aula', 'avaliacao', 'faltar', 'aulo', 'todo', 'materia', 'disciplina', 'algum', 'ensino', 'semestre', 'curso', 'ponto', 'precisar', 'so', 'prova']"
LDA,"['prova', 'pouco', 'aula', 'conseguir', 'faltar', 'saber', 'cobrar', 'discente', 'sala', 'ser', 'conteudo', 'ter', 'pra', 'gente', 'passar']"
LDA,"['prova', 'aula', 'passar', 'explicar', 'conteudo', 'trabalho', 'bem', 'semestre', 'aler', 'fazer', 'disciplina', 'avaliacao', 'criterio', 'apenas', 'outro']"
LDA,"['assunto', 'fazer', 'sempre', 'bem', 'explicar', 'aula', 'materia', 'otimo', 'interesse', 'sao', 'falar', 'pegar', 'vez', 'ensinar', 'didaticar']"
LDA,"['assunto', 'forma', 'aula', 'ensinar', 'materia', 'pois', 'poder', 'fazer', 'discente', 'algum', 'maneira', 'disciplina', 'claro', 'so', 'avaliacao']"
LDA,"['disciplina', 'aula', 'bem', 'todo', 'fazer', 'so', 'bom', 'curso', 'poder', 'conteudo', 'atividade', 'saber', 'usar', 'sao', 'passar']"
LDA,"['conteudo', 'aula', 'passar', 'tempo', 'faltar', 'bom', 'didatico', 'prova', 'trabalho', 'melhorar', 'claro', 'disciplina', 'pouco', 'dar', 'avaliacao']"
LDA,"['excelente', 'didaticar', 'disciplina', 'dominio', 'conteudo', 'assunto', 'bom', 'sempre', 'materia', 'professora', 'forma', 'sala', 'ministrar', 'aula', 'aprendizar']"
LDA,"['bom', 'otimo', 'didaticar', 'professora', 'conteudo', 'bem', 'excelente', 'muito', 'profissional', 'semestre', 'nivel', 'didatico', 'disciplina', 'explicar', 'assunto']"
NMF,"['aula', 'passar', 'prova', 'conteudo', 'fazer', 'disciplina', 'trabalho', 'avaliacao', 'semestre', 'pouco', 'deixar', 'forma', 'poder', 'conseguir', 'ter']"
NMF,"['excelente', 'profissional', 'docente', 'aula', 'estudar', 'organizar', 'sentir', 'desafia', 'possuir', 'didatico', 'preparar', 'ponto', 'geral', 'parabem', 'altamente']"
NMF,"['bom', 'aula', 'semestre', 'ja', 'gente', 'poder', 'repassar', 'matematico', 'padrao', 'esforcar', 'adorar', 'super', 'otimos', 'materia', 'fazer']"
NMF,"['otimo', 'dinamico', 'profissional', 'dedicar', 'lecionar', 'atencao', 'carisma', 'semestr', 'aprender', 'perfeito', 'ensino', 'parceiro', 'dispoe', 'proffisional', 'sucesso']"
NMF,"['bem', 'explicar', 'ensinar', 'assunto', 'interage', 'educar', 'saber', 'dominar', 'conhecer', 'con', 'lecionar', 'raciocinio', 'maravilhoso', 'bastante', 'eficiente']"
NMF,"['atencioso', 'prestativo', 'dedicar', 'disposicao', 'interessado', 'repetir', 'assiduo', 'entender', 'disciplinar', 'super', 'minucioso', 'dispostar', 'aprendizar', 'tecnico', 'cobra']"
NMF,"['didatico', 'melhorar', 'precisar', 'falta', 'deixar', 'recurso', 'estremamente', 'organizar', 'tics', 'dialogo', 'utilizar', 'claro', 'altamente', 'exemplo', 'pouco']"
NMF,"['dominio', 'assunto', 'conteudo', 'sobre', 'bastante', 'materia', 'disciplina', 'ministrar', 'portugue', 'contextualizar', 'ensinar', 'tratar', 'forma', 'claro', 'alto']"
NMF,"['didaticar', 'ruim', 'fraco', 'possuir', 'atencao', 'objetiva', 'corrida', 'incrivel', 'ponto', 'objetivo', 'parabem', 'abordar', 'pessimo', 'paciencia', 'abordagem']"
NMF,"['professora', 'maravilhoso', 'vontade', 'adequado', 'muito', 'aprender', 'grandississimar', 'sentir', 'noto', 'esforcar', 'bastante', 'atualizar', 'boa', 'melhorar', 'ensinar']"
NMF,"['sempre', 'ajudar', 'disposto', 'duvir', 'duvida', 'prestativo', 'presente', 'claro', 'dedicar', 'tirar', 'materia', 'esclarecer', 'objetiva', 'buscar', 'trazer']"
NMF,"['conhecimento', 'geral', 'assunto', 'ministrar', 'comentario', 'amplo', 'saber', 'tanto', 'estudo', 'areo', 'profundo', 'interessar', 'aprofundar', 'aceitavel', 'positivo']"
