model,keywords
lsa,"['good', 'excellent', 'teaching', 'great', 'teacher', 'well', 'subject', 'class', 'didactic', 'content', 'domain', 'explain', 'teach', 'discipline', 'always']"
lsa,"['excellent', 'well', 'teaching', 'explain', 'subject', 'teach', 'content', 'great', 'discipline', 'good', 'pass', 'exam', 'know', 'class', 'miss']"
lsa,"['good', 'excellent', 'great', 'domain', 'teaching', 'subject', 'well', 'minister', 'content', 'way', 'pass', 'about', 'attentive', 'clear', 'discipline']"
lsa,"['great', 'good', 'well', 'teacher', 'class', 'explain', 'semester', 'dynamic', 'content', 'excellent', 'can', 'professional', 'attentive', 'do', 'interact']"
lsa,"['well', 'explain', 'subject', 'great', 'good', 'teacher', 'teach', 'domain', 'didactic', 'class', 'little', 'miss', 'improve', 'semester', 'exam']"
lsa,"['attentive', 'didactic', 'teacher', 'always', 'teaching', 'great', 'improve', 'helpful', 'help', 'need', 'explain', 'good', 'dedicate', 'doubt', 'domain']"
lsa,"['didactic', 'attentive', 'teaching', 'improve', 'domain', 'well', 'helpful', 'great', 'explain', 'always', 'need', 'teacher', 'help', 'subject', 'knowledge']"
lsa,"['domain', 'well', 'didactic', 'explain', 'subject', 'excellent', 'improve', 'attentive', 'teaching', 'content', 'class', 'enough', 'exam', 'minister', 'clear']"
lsa,"['teaching', 'teacher', 'domain', 'class', 'always', 'good', 'clear', 'didactic', 'improve', 'objective', 'minister', 'teach', 'need', 'help', 'about']"
lsa,"['teacher', 'attentive', 'teach', 'domain', 'improve', 'great', 'dedicate', 'professional', 'teaching', 'class', 'always', 'help', 'dynamic', 'wonderful', 'miss']"
lsa,"['attentive', 'always', 'teaching', 'help', 'teach', 'willing', 'good', 'professional', 'subject_matter', 'explain', 'content', 'teacher', 'miss', 'subject', 'clear']"
lsa,"['content', 'knowledge', 'class', 'subject', 'way', 'room', 'class', 'about', 'pass', 'pass_on', 'comment', 'didactic', 'minister', 'dedicate', 'dynamic']"
lsa,"['miss', 'class', 'room', 'discipline', 'content', 'class', 'communication', 'about', 'teach', 'present', 'knowledge', 'explain', 'know', 'evaluation', 'experience']"
lsa,"['knowledge', 'subject', 'domain', 'minister', 'about', 'subject_matter', 'class', 'general', 'way', 'teach', 'discipline', 'explain', 'clear', 'class', 'master']"
lsa,"['class', 'teach', 'always', 'attentive', 'room', 'teaching', 'comment', 'general', 'class', 'miss', 'help', 'way', 'exam', 'explain', 'willing']"
lsa,"['teach', 'knowledge', 'class', 'general', 'content', 'room', 'class', 'discipline', 'explain', 'wonderful', 'difficult', 'subject_matter', 'leave', 'communication', 'teacher']"
lsa,"['semester', 'general', 'difficult', 'subject_matter', 'professional', 'exam', 'pass', 'improve', 'little', 'subject', 'miss', 'well', 'knowledge', 'need', 'some']"
lsa,"['comment', 'subject_matter', 'know', 'do', 'wonderful', 'leave', 'clear', 'semester', 'content', 'dynamic', 'discipline', 'evaluation', 'exam', 'professional', 'class']"
lsa,"['exam', 'discipline', 'comment', 'pass', 'can', 'clear', 'time', 'class', 'semester', 'because', 'help', 'have', 'subject', 'general', 'schedule']"
lsa,"['comment', 'subject_matter', 'positive', 'pass', 'dedicate', 'clear', 'negative', 'unnecessary', 'leave', 'wonderful', 'during', 'exam', 'way', 'some', 'sexual']"
lsa,"['little', 'dynamic', 'knowledge', 'know', 'subject_matter', 'difficult', 'time', 'enough', 'comment', 'subject', 'class', 'semester', 'teach', 'pass', 'other']"
lsa,"['semester', 'master', 'well', 'wonderful', 'miss', 'about', 'way', 'dedicate', 'difficult', 'explain', 'minister', 'teach', 'comment', 'subject_matter', 'class']"
lsa,"['enough', 'improve', 'little', 'time', 'explain', 'professional', 'very', 'class', 'didactic', 'pass', 'dynamic', 'teach', 'need', 'way', 'about']"
lsa,"['explain', 'master', 'schedule', 'subject', 'dynamic', 'can', 'clear', 'professional', 'objective', 'minister', 'comment', 'well', 'know', 'dedicate', 'have']"
lsa,"['wonderful', 'dedicate', 'knowledge', 'master', 'professional', 'domain', 'subject', 'can', 'well', 'evaluation', 'make_effort', 'pass', 'semester', 'way', 'about']"
lda,"['discipline', 'teacher', 'little', 'beyond', 'explain', 'well', 'time', 'subject', 'class', 'comment', 'study', 'during', 'class', 'schedule', 'minister']"
lda,"['class', 'leave', 'semester', 'trabalho', 'minister', 'discipline', 'some', 'subject', 'room', 'content', 'can', 'give', 'class', 'do', 'knowledge']"
lda,"['do', 'class', 'that', 'dynamic', 'know', 'attentive', 'great', 'always', 'subject_matter', 'schedule', 'need', 'help', 'content', 'teaching', 'give']"
lda,"['class', 'semester', 'discipline', 'teacher', 'good', 'content', 'give', 'evaluative', 'have', 'learn', 'beyond', 'hour', 'all', 'professional', 'harm']"
lda,"['class', 'evaluation', 'class', 'miss', 'all', 'subject_matter', 'discipline', 'point', 'some', 'teaching', 'semester', 'course', 'need', 'only', 'exam']"
lda,"['exam', 'little', 'class', 'manage', 'miss', 'know', 'charge', 'student', 'room', 'be', 'have', 'for', 'content', 'people', 'pass']"
lda,"['exam', 'class', 'pass', 'explain', 'content', 'trabalho', 'well', 'semester', 'beyond', 'do', 'discipline', 'evaluation', 'criterion', 'just', 'other']"
lda,"['subject', 'do', 'always', 'well', 'explain', 'class', 'subject_matter', 'great', 'interest', 'are', 'speak', 'take', 'time', 'teach', 'teaching']"
lda,"['subject', 'way', 'class', 'teach', 'subject_matter', 'because', 'can', 'do', 'student', 'way', 'some', 'clear', 'discipline', 'only', 'evaluation']"
lda,"['discipline', 'class', 'well', 'all', 'only', 'do', 'good', 'course', 'can', 'content', 'activity', 'know', 'use', 'are', 'pass']"
lda,"['content', 'class', 'pass', 'time', 'miss', 'good', 'didactic', 'exam', 'trabalho', 'improve', 'clear', 'discipline', 'little', 'give', 'evaluation']"
lda,"['excellent', 'teaching', 'domain', 'discipline', 'content', 'subject', 'good', 'always', 'subject_matter', 'teacher', 'way', 'room', 'minister', 'class', 'learning']"
lda,"['good', 'great', 'teaching', 'teacher', 'content', 'well', 'excellent', 'very', 'professional', 'semester', 'level', 'discipline', 'didactic', 'explain', 'subject']"
nmf,"['class', 'pass', 'exam', 'content', 'do', 'discipline', 'trabalho', 'evaluation', 'semester', 'little', 'leave', 'way', 'can', 'manage', 'have']"
nmf,"['excellent', 'professional', 'teacher', 'class', 'study', 'organize', 'feel', 'challenges', 'possess', 'didactic', 'prepare', 'point', 'general', 'congratulations', 'highly']"
nmf,"['good', 'class', 'semester', 'already', 'people', 'can', 'pass_on', 'mathematical', 'standard', 'make_effort', 'love', 'super', 'great', 'subject_matter', 'do']"
nmf,"['great', 'dynamic', 'professional', 'dedicate', 'teach', 'attention', 'charisma', 'semester', 'learn', 'perfect', 'teaching', 'partner', 'disposes', 'professional', 'success']"
nmf,"['well', 'explain', 'teach', 'subject', 'interact', 'educate', 'know', 'master', 'know', 'with', 'teach', 'reasoning', 'wonderful', 'enough', 'efficient']"
nmf,"['attentive', 'helpful', 'dedicate', 'disposition', 'interested', 'repeat', 'assiduous', 'understand', 'disciplinary', 'super', 'meticulous', 'willing', 'learning', 'technical', 'demands']"
nmf,"['didactic', 'improve', 'need', 'lack', 'leave', 'resource', 'extremely', 'organize', 'dialogue', 'tics', 'use', 'clear', 'highly', 'example', 'little']"
nmf,"['domain', 'subject', 'content', 'about', 'enough', 'subject_matter', 'discipline', 'minister', 'portuguese', 'contextualize', 'teach', 'treat', 'way', 'clear', 'high']"
nmf,"['teaching', 'bad', 'weak', 'possess', 'attention', 'objective', 'rushed', 'incredible', 'point', 'objective', 'congratulations', 'approach', 'terrible', 'patience', 'approach']"
nmf,"['teacher', 'wonderful', 'will', 'appropriate', 'very', 'learn', 'very_great', 'feel', 'notice', 'make_effort', 'enough', 'update', 'good', 'improve', 'teach']"
nmf,"['always', 'help', 'willing', 'doubt', 'doubt', 'helpful', 'present', 'clear', 'dedicate', 'take_away', 'subject_matter', 'clarify', 'objective', 'search', 'bring']"
nmf,"['knowledge', 'general', 'subject', 'minister', 'comment', 'broad', 'know', 'so_much', 'study', 'area', 'deep', 'interest', 'deepen', 'acceptable', 'positive']"
