model,keywords
lsa,"['bom', 'excelente', 'didaticar', 'otimo', 'professora', 'bem', 'assunto', 'aula', 'didatico', 'conteudo', 'dominio', 'explicar', 'ensinar', 'disciplina', 'sempre']"
lsa,"['excelente', 'bem', 'didaticar', 'explicar', 'assunto', 'ensinar', 'conteudo', 'otimo', 'disciplina', 'bom', 'passar', 'prova', 'saber', 'aula', 'faltar']"
lsa,"['bom', 'excelente', 'otimo', 'dominio', 'didaticar', 'assunto', 'bem', 'ministrar', 'conteudo', 'forma', 'passar', 'sobre', 'atencioso', 'claro', 'disciplina']"
lsa,"['otimo', 'bom', 'bem', 'professora', 'aula', 'explicar', 'semestre', 'dinamico', 'conteudo', 'excelente', 'poder', 'profissional', 'atencioso', 'fazer', 'interage']"
lsa,"['bem', 'explicar', 'assunto', 'otimo', 'bom', 'professora', 'ensinar', 'dominio', 'didatico', 'aula', 'pouco', 'faltar', 'melhorar', 'semestre', 'prova']"
lsa,"['atencioso', 'didatico', 'professora', 'sempre', 'didaticar', 'otimo', 'melhorar', 'prestativo', 'ajudar', 'precisar', 'explicar', 'bom', 'dedicar', 'duvir', 'dominio']"
lsa,"['didatico', 'atencioso', 'didaticar', 'melhorar', 'dominio', 'bem', 'prestativo', 'otimo', 'explicar', 'sempre', 'precisar', 'professora', 'ajudar', 'assunto', 'conhecimento']"
lsa,"['dominio', 'bem', 'didatico', 'explicar', 'assunto', 'excelente', 'melhorar', 'atencioso', 'didaticar', 'conteudo', 'aula', 'bastante', 'prova', 'ministrar', 'claro']"
lsa,"['didaticar', 'professora', 'dominio', 'aula', 'sempre', 'bom', 'claro', 'didatico', 'melhorar', 'objetiva', 'ministrar', 'ensinar', 'precisar', 'ajudar', 'sobre']"
lsa,"['professora', 'atencioso', 'ensinar', 'dominio', 'melhorar', 'otimo', 'dedicar', 'profissional', 'didaticar', 'aula', 'sempre', 'ajudar', 'dinamico', 'maravilhoso', 'faltar']"
lsa,"['atencioso', 'sempre', 'didaticar', 'ajudar', 'ensinar', 'disposto', 'bom', 'profissional', 'materia', 'explicar', 'conteudo', 'professora', 'faltar', 'assunto', 'claro']"
lsa,"['conteudo', 'conhecimento', 'aulo', 'assunto', 'forma', 'sala', 'aula', 'sobre', 'passar', 'repassar', 'comentario', 'didatico', 'ministrar', 'dedicar', 'dinamico']"
lsa,"['faltar', 'aulo', 'sala', 'disciplina', 'conteudo', 'aula', 'comunicacao', 'sobre', 'ensinar', 'apresentar', 'conhecimento', 'explicar', 'saber', 'avaliacao', 'experiencia']"
lsa,"['conhecimento', 'assunto', 'dominio', 'ministrar', 'sobre', 'materia', 'aula', 'geral', 'forma', 'ensinar', 'disciplina', 'explicar', 'claro', 'aulo', 'dominar']"
lsa,"['aula', 'ensinar', 'sempre', 'atencioso', 'sala', 'didaticar', 'comentario', 'geral', 'aulo', 'faltar', 'ajudar', 'forma', 'prova', 'explicar', 'disposto']"
lsa,"['ensinar', 'conhecimento', 'aula', 'geral', 'conteudo', 'sala', 'aulo', 'disciplina', 'explicar', 'maravilhoso', 'dificil', 'materia', 'deixar', 'comunicacao', 'professora']"
lsa,"['semestre', 'geral', 'dificil', 'materia', 'profissional', 'prova', 'passar', 'melhorar', 'pouco', 'assunto', 'faltar', 'bem', 'conhecimento', 'precisar', 'algum']"
lsa,"['comentario', 'materia', 'saber', 'fazer', 'maravilhoso', 'deixar', 'claro', 'semestre', 'conteudo', 'dinamico', 'disciplina', 'avaliacao', 'prova', 'profissional', 'aula']"
lsa,"['prova', 'disciplina', 'comentario', 'passar', 'poder', 'claro', 'tempo', 'aulo', 'semestre', 'pois', 'ajudar', 'ter', 'assunto', 'geral', 'horario']"
lsa,"['comentario', 'materia', 'positivo', 'passar', 'dedicar', 'claro', 'negativo', 'desnecessario', 'deixar', 'maravilhoso', 'durante', 'prova', 'forma', 'algum', 'sexual']"
lsa,"['pouco', 'dinamico', 'conhecimento', 'saber', 'materia', 'dificil', 'tempo', 'bastante', 'comentario', 'assunto', 'aulo', 'semestre', 'ensinar', 'passar', 'outro']"
lsa,"['semestre', 'dominar', 'bem', 'maravilhoso', 'faltar', 'sobre', 'forma', 'dedicar', 'dificil', 'explicar', 'ministrar', 'ensinar', 'comentario', 'materia', 'aulo']"
lsa,"['bastante', 'melhorar', 'pouco', 'tempo', 'explicar', 'profissional', 'muito', 'aula', 'didatico', 'passar', 'dinamico', 'ensinar', 'precisar', 'forma', 'sobre']"
lsa,"['explicar', 'dominar', 'horario', 'assunto', 'dinamico', 'poder', 'claro', 'profissional', 'objetivo', 'ministrar', 'comentario', 'bem', 'conhecer', 'dedicar', 'ter']"
lsa,"['maravilhoso', 'dedicar', 'conhecimento', 'dominar', 'profissional', 'dominio', 'assunto', 'poder', 'bem', 'avaliacao', 'esforcar', 'passar', 'semestre', 'maneira', 'sobre']"
lda,"['disciplina', 'professora', 'pouco', 'aler', 'explicar', 'bem', 'vez', 'assunto', 'aulo', 'comentario', 'estudar', 'durante', 'aula', 'horario', 'ministrar']"
lda,"['aula', 'deixar', 'semestre', 'trabalho', 'ministrar', 'disciplina', 'algum', 'assunto', 'sala', 'conteudo', 'poder', 'dar', 'aulo', 'fazer', 'conhecimento']"
lda,"['fazer', 'aula', 'q', 'dinamico', 'saber', 'atencioso', 'otimo', 'sempre', 'materia', 'horario', 'precisar', 'ajudar', 'conteudo', 'didaticar', 'dar']"
lda,"['aula', 'semestre', 'disciplina', 'professora', 'bom', 'conteudo', 'dar', 'avaliativo', 'ter', 'aprender', 'aler', 'hora', 'todo', 'profissional', 'prejudicar']"
lda,"['aula', 'avaliacao', 'aulo', 'faltar', 'todo', 'materia', 'disciplina', 'ponto', 'algum', 'ensino', 'semestre', 'curso', 'precisar', 'so', 'prova']"
lda,"['prova', 'pouco', 'aula', 'conseguir', 'faltar', 'saber', 'cobrar', 'discente', 'sala', 'ser', 'ter', 'pra', 'conteudo', 'gente', 'passar']"
lda,"['prova', 'aula', 'passar', 'explicar', 'conteudo', 'trabalho', 'bem', 'semestre', 'aler', 'fazer', 'disciplina', 'avaliacao', 'criterio', 'apenas', 'outro']"
lda,"['assunto', 'fazer', 'sempre', 'bem', 'explicar', 'aula', 'materia', 'otimo', 'interesse', 'sao', 'falar', 'pegar', 'vez', 'ensinar', 'didaticar']"
lda,"['assunto', 'forma', 'aula', 'ensinar', 'materia', 'pois', 'poder', 'fazer', 'discente', 'maneira', 'algum', 'claro', 'disciplina', 'so', 'avaliacao']"
lda,"['disciplina', 'aula', 'bem', 'todo', 'so', 'fazer', 'bom', 'curso', 'poder', 'conteudo', 'atividade', 'saber', 'usar', 'sao', 'passar']"
lda,"['conteudo', 'aula', 'passar', 'tempo', 'faltar', 'bom', 'didatico', 'prova', 'trabalho', 'melhorar', 'claro', 'disciplina', 'pouco', 'dar', 'avaliacao']"
lda,"['excelente', 'didaticar', 'dominio', 'disciplina', 'conteudo', 'assunto', 'bom', 'sempre', 'materia', 'professora', 'forma', 'sala', 'ministrar', 'aula', 'aprendizar']"
lda,"['bom', 'otimo', 'didaticar', 'professora', 'conteudo', 'bem', 'excelente', 'muito', 'profissional', 'semestre', 'nivel', 'disciplina', 'didatico', 'explicar', 'assunto']"
nmf,"['aula', 'passar', 'prova', 'conteudo', 'fazer', 'disciplina', 'trabalho', 'avaliacao', 'semestre', 'pouco', 'deixar', 'forma', 'poder', 'conseguir', 'ter']"
nmf,"['excelente', 'profissional', 'docente', 'aula', 'estudar', 'organizar', 'sentir', 'desafia', 'possuir', 'didatico', 'preparar', 'ponto', 'geral', 'parabem', 'altamente']"
nmf,"['bom', 'aula', 'semestre', 'ja', 'gente', 'poder', 'repassar', 'matematico', 'padrao', 'esforcar', 'adorar', 'super', 'otimos', 'materia', 'fazer']"
nmf,"['otimo', 'dinamico', 'profissional', 'dedicar', 'lecionar', 'atencao', 'carisma', 'semestr', 'aprender', 'perfeito', 'ensino', 'parceiro', 'dispoe', 'proffisional', 'sucesso']"
nmf,"['bem', 'explicar', 'ensinar', 'assunto', 'interage', 'educar', 'saber', 'dominar', 'conhecer', 'con', 'lecionar', 'raciocinio', 'maravilhoso', 'bastante', 'eficiente']"
nmf,"['atencioso', 'prestativo', 'dedicar', 'disposicao', 'interessado', 'repetir', 'assiduo', 'entender', 'disciplinar', 'super', 'minucioso', 'dispostar', 'aprendizar', 'tecnico', 'cobra']"
nmf,"['didatico', 'melhorar', 'precisar', 'falta', 'deixar', 'recurso', 'estremamente', 'organizar', 'dialogo', 'tics', 'utilizar', 'claro', 'altamente', 'exemplo', 'pouco']"
nmf,"['dominio', 'assunto', 'conteudo', 'sobre', 'bastante', 'materia', 'disciplina', 'ministrar', 'portugue', 'contextualizar', 'ensinar', 'tratar', 'forma', 'claro', 'alto']"
nmf,"['didaticar', 'ruim', 'fraco', 'possuir', 'atencao', 'objetiva', 'corrida', 'incrivel', 'ponto', 'objetivo', 'parabem', 'abordar', 'pessimo', 'paciencia', 'abordagem']"
nmf,"['professora', 'maravilhoso', 'vontade', 'adequado', 'muito', 'aprender', 'grandississimar', 'sentir', 'noto', 'esforcar', 'bastante', 'atualizar', 'boa', 'melhorar', 'ensinar']"
nmf,"['sempre', 'ajudar', 'disposto', 'duvir', 'duvida', 'prestativo', 'presente', 'claro', 'dedicar', 'tirar', 'materia', 'esclarecer', 'objetiva', 'buscar', 'trazer']"
nmf,"['conhecimento', 'geral', 'assunto', 'ministrar', 'comentario', 'amplo', 'saber', 'tanto', 'estudo', 'areo', 'profundo', 'interessar', 'aprofundar', 'aceitavel', 'positivo']"
